index;parent_index;operations;direction
0;26;rrr;3
1;59;r;1
2;112;rrr;1
3;0;r;1
4;60;rrr;0
5;78;rrr;3
6;25;rr;1
7;300;rr;3
8;183;rrr;1
9;82;rr;0
10;242;rrrd;2
11;140;rrr;3
12;80;r;1
13;24;r;0
14;0;rr;3
15;79;r;3
16;30;rr;3
17;184;rr;1
18;24;rrr;3
19;234;r;3
20;452;rrr;3
21;498;r;3
22;220;rrr;1
23;778;r;3
24;300;r;0
25;808;rr;3
26;602;rr;0
27;745;rr;1
28;746;rr;1
29;636;rrr;0
30;782;r;3
31;447;rrr;2
32;326;r;1
33;655;rrr;3
34;186;rrr;0
35;614;rr;3
36;618;rrr;0
37;548;r;3
38;266;rr;1
39;95;rr;0
40;273;rrr;3
41;78;r;3
42;548;rrr;3
43;1;rrr;1
44;590;rrr;1
45;779;r;3
46;549;rr;2
47;635;rr;3
48;919;rr;0
49;336;r;0
50;140;r;1
51;746;r;0
52;401;rr;3
53;116;r;1
54;64;rrr;2
55;745;r;1
56;748;rrr;2
57;593;rrr;0
58;1173;rr;2
59;656;rrr;3
60;998;r;0
61;183;r;2
62;80;rr;3
63;402;rr;0
64;8;r;1
65;199;rr;2
66;113;rrr;0
67;548;rr;0
68;528;rrrd;3
69;658;rr;2
70;592;d;2
71;400;rrr;3
72;747;rr;1
73;549;r;0
74;296;rr;0
75;141;rrr;3
76;401;rd;1
77;983;r;3
78;183;rrrd;1
79;337;r;3
80;647;rr;0
81;196;r;1
82;80;rrr;2
83;919;rrr;1
84;49;r;0
85;50;r;1
86;1203;rr;1
87;1249;rrr;1
88;468;rr;0
89;1203;rrr;3
90;521;rr;1
91;24;d;3
92;1130;r;1
93;1207;rr;1
94;78;rr;1
95;524;rrr;0
96;564;rrr;0
97;565;rrr;0
98;745;rrr;1
99;747;r;1
100;1478;rr;2
101;610;r;1
102;1470;r;0
103;670;rrr;0
104;671;rrr;2
105;1326;rrr;0
106;749;rr;3
107;5;rrr;2
108;785;rr;1
109;1638;rrr;3
110;401;r;1
111;1802;rrr;3
112;31;rr;0
113;485;rr;1
114;134;rr;0
115;1782;rrr;3
116;948;rrr;0
117;500;r;3
118;551;r;2
119;1682;rr;3
120;1741;rr;3
121;267;rrr;2
122;714;rrr;1
123;112;r;2
124;635;r;1
125;266;rrr;2
126;549;rrr;3
127;1995;rr;2
128;1982;rrr;0
129;296;rrr;2
130;1107;r;0
131;2089;rrr;0
132;466;rr;1
133;187;rrr;0
134;1204;rrr;0
135;1828;rrr;3
136;189;rr;3
137;1331;rrr;1
138;1959;rrr;0
139;1961;r;2
140;1516;r;3
141;269;rr;0
142;522;rr;0
143;1860;rr;0
144;979;r;0
145;2113;rr;0
146;265;r;1
147;976;rrr;3
148;685;rr;0
149;1087;rr;3
150;598;rr;1
151;1801;rr;3
152;1742;rr;2
153;296;r;2
154;656;r;3
155;2237;rrr;1
156;615;rrr;2
157;326;rrr;3
158;498;rrr;1
159;748;r;1
160;503;rr;1
161;504;rr;3
162;149;rrr;0
163;150;rrr;2
164;466;rrr;3
165;655;rr;1
166;1204;r;1
167;1828;r;1
168;2350;rrr;3
169;301;rrr;1
170;2243;rrr;0
171;1209;rr;1
172;610;rr;3
173;1032;r;1
174;503;r;3
175;1093;r;2
176;1112;r;2
177;976;rr;1
178;1066;r;3
179;2131;r;3
180;573;rrr;3
181;1741;rrr;1
182;1369;r;3
183;1370;r;0
184;466;r;1
185;1741;r;1
186;2129;rrr;0
187;614;r;2
188;112;rr;0
189;2380;r;1
190;892;rrr;1
191;893;rrr;0
192;147;rrr;1
193;1092;rr;2
194;441;rr;1
195;1667;rr;2
196;714;rr;2
197;996;rrr;1
198;997;rr;1
199;1953;rrr;2
200;326;rr;3
201;1921;rrr;1
202;1546;rr;2
203;467;r;3
204;1032;rr;1
205;1743;r;2
206;1620;rr;3
207;1624;rr;0
208;400;r;3
209;79;rr;3
210;184;rrr;3
211;2237;r;3
212;269;rrr;3
213;359;rr;1
214;1252;rr;0
215;784;rr;0
216;29;rd;2
217;1965;rrr;2
218;1667;r;0
219;1952;r;2
220;2011;rr;1
221;805;rrr;0
222;1923;rrr;3
223;193;rr;1
224;1870;rr;1
225;747;rrr;3
226;977;r;1
227;503;rrr;1
228;713;r;0
229;60;r;2
230;1921;r;3
231;891;rrr;1
232;950;rrr;1
233;1206;rr;0
234;952;rrr;2
235;1495;rr;0
236;1891;r;3
237;930;r;1
238;294;rr;1
239;1782;r;3
240;948;r;3
241;1668;rrr;1
242;1702;rr;2
243;975;r;3
244;1407;rrr;0
245;2911;rr;2
246;336;rrr;0
247;2287;rrr;0
248;297;r;1
249;2237;rr;3
250;899;rr;1
251;2538;rr;1
252;1231;rrr;1
253;267;rr;1
254;2350;r;0
255;1107;rrr;1
256;2;rrr;3
257;1725;rrr;0
258;1926;r;3
259;2009;rrr;1
260;357;rrr;3
261;1787;rr;0
262;2840;rr;0
263;806;rrr;3
264;1779;rrr;3
265;1584;rrr;3
266;778;rr;3
267;3121;rr;0
268;26;r;1
269;1224;r;2
270;2611;rrr;3
271;2304;r;1
272;597;rrr;2
273;432;rr;1
274;154;rr;0
275;2441;rrr;2
276;140;rr;3
277;1204;rr;3
278;524;rr;2
279;89;r;3
280;725;rrr;1
281;726;rrr;0
282;2268;r;3
283;400;rr;3
284;432;r;3
285;591;r;0
286;592;r;0
287;2770;r;2
288;2127;rrr;0
289;2128;rrr;0
290;657;rr;0
291;28;rrr;1
292;1951;rr;1
293;573;r;0
294;1389;rrr;2
295;1516;d;0
296;1138;rr;1
297;1559;r;1
298;1270;r;3
299;2936;r;0
300;3054;r;1
301;1411;rrr;0
302;557;rrr;1
303;561;rrr;0
304;562;rrr;3
305;2055;rr;2
306;2056;rr;1
307;1183;rr;3
