Pstate,Cstate,Operations
"0,0,2,2","2,2,0,0","r,r"
"0,2,2,4","2,0,4,2",r
"2,2,2,4","2,2,4,2",r
"0,8,2,4","4,2,8,0","r,r"
"2,4,8,2","4,2,2,8","r,r,r"
"0,2,2,2","2,2,2,0","r,r"
"0,2,2,4","4,2,2,0","r,r"
"2,2,2,4","4,2,2,2","r,r"
"2,2,4,4","4,4,2,2","r,r"
"0,2,4,8","2,8,0,4","r,r,r"
"2,4,8,2","2,8,4,2","r,r"
"0,2,2,0","2,0,0,2",r
"0,2,2,2","2,2,0,2","r,r,r"
"2,2,2,4","2,4,2,2","r,r,r"
"2,2,4,4","2,4,2,4","r,r,r"
"0,8,2,4","2,0,4,8",r
"0,2,4,4","4,0,4,2",r
"0,2,4,0","4,0,0,2",r
"2,2,8,4","2,4,2,8","r,r,r"
"2,4,8,4","4,4,2,8","r,r,r"
"2,2,8,8","2,8,2,8","r,r,r"
"0,16,2,4","2,0,4,16",r
"2,16,4,4","4,2,4,16",r
"2,8,16,2","8,2,2,16","r,r,r"
"0,0,2,2","2,0,2,0",r
"0,4,2,2","2,0,2,4",r
"0,4,2,4","4,4,0,2","r,r,r"
"0,0,2,4","4,2,0,0","r,r"
"0,8,2,2","2,2,8,0","r,r"
"2,2,4,8","4,2,8,2",r
"2,8,4,4","4,4,8,2","r,r"
"0,2,2,2","2,0,2,2",r
"2,2,4,4","4,2,4,2",r
"0,4,2,8","2,0,8,4",r
"0,0,2,2","0,2,0,2","r,r,r"
"0,2,4,4","4,4,2,0","r,r"
"2,4,4,2","4,2,2,4",r
"0,2,2,4","2,4,0,2","r,r,r"
"2,8,4,4","4,2,4,8",r
"2,8,8,2","8,2,2,8",r
"0,2,4,0","0,4,2,0","r,r"
"2,2,2,4","4,4,8,4","d,r"
"2,4,8,8","8,2,8,4",r
"0,2,4,2","4,0,2,2",r
"0,2,4,4","2,4,0,4","r,r,r"
"0,8,4,2","4,0,2,8",r
"0,2,4,2","2,2,0,4","r,r,r"
"0,2,2,2","4,4,4,0","d,r,r"
"0,2,8,4","8,0,4,2",r
"0,2,4,0","2,0,0,4","r,r,r"
"2,4,4,4","4,4,2,4","r,r,r"
"2,2,8,4","4,8,2,2","r,r"
"2,4,4,8","4,8,2,4","r,r,r"
"0,0,2,4","2,0,4,0",r
"0,2,8,4","2,4,0,8","r,r,r"
"0,2,4,2","2,4,2,0","r,r"
"0,0,2,4","0,4,0,2","r,r,r"
"0,2,4,8","4,0,8,2",r
"0,0,2,2","0,4,0,4","d,r,r,r"
"0,0,2,8","0,8,0,2","r,r,r"
"0,2,2,8","8,2,2,0","r,r"
"2,2,2,8","8,2,2,2","r,r"
"2,4,8,2","8,2,2,4",r
"0,0,4,2","4,0,2,0",r
"0,4,2,2","4,2,0,2","r,r,r"
"0,4,2,8","8,2,4,0","r,r"
"2,2,8,4","8,2,4,2",r
"2,4,8,4","8,2,4,4",r
"0,0,4,2","0,2,0,4","r,r,r"
"0,4,2,2","2,2,4,0","r,r"
"0,4,2,2","4,4,8,0","d,r,r"
"0,2,8,8","8,0,8,2",r
"2,2,2,16","2,2,16,2",r
"0,4,8,2","8,0,2,4",r
"2,2,4,8","8,4,2,2","r,r"
"2,8,4,4","8,4,2,4","r,r,r"
"2,4,4,4","4,4,4,2","r,r"
"2,4,4,8","4,2,8,4",r
"2,4,4,4","4,2,4,4",r
"0,8,2,2","8,2,0,2","r,r,r"
"0,4,4,2","4,2,0,4","r,r,r"
"2,2,2,8","2,8,2,2","r,r,r"
"0,4,2,4","4,2,4,0","r,r"
"0,4,2,8","4,8,0,2","r,r,r"
"0,8,2,2","2,0,2,8",r
"0,2,2,4","0,4,4,8",d
"2,2,2,4","4,4,4,8",d
"2,8,8,4","8,2,4,8",r
"0,2,2,0","4,0,0,4","d,r"
"0,4,2,4","2,0,4,4",r
"2,2,2,8","2,2,8,2",r
"2,4,16,2","4,2,2,16","r,r,r"
"0,0,4,2","2,4,0,0","r,r"
"0,2,4,8","8,4,2,0","r,r"
"2,4,4,2","4,8,8,4",d
"0,2,2,8","2,0,8,2",r
"2,2,8,8","8,2,8,2",r
"0,16,2,4","16,4,0,2","r,r,r"
"2,2,4,8","2,8,2,4","r,r,r"
"0,4,4,2","4,0,2,4",r
"0,2,8,2","8,0,2,2",r
"2,8,8,4","8,4,2,8","r,r,r"
"2,4,8,4","4,8,4,2","r,r"
"2,2,8,8","8,8,2,2","r,r"
"0,4,2,16","16,2,4,0","r,r"
"2,2,16,4","16,2,4,2",r
"2,4,16,4","16,2,4,4",r
"2,2,16,8","16,2,8,2",r
"2,4,16,8","16,2,8,4",r
"0,2,4,16","4,0,16,2",r
"0,2,4,2","0,4,8,4",d
"0,2,2,16","2,0,16,2",r
"0,2,4,2","4,8,4,0","d,r,r"
"0,2,8,8","8,8,2,0","r,r"
"0,2,2,2","4,4,0,4","d,r,r,r"
"0,2,16,4","2,4,0,16","r,r,r"
