Pstate,Cstate,Operations
"2,0,2,0","4,0,4,0","d,n"
"2,4,0,2","4,8,0,4","d,n"
"2,4,2,2","4,8,4,4","d,n"
"2,4,4,2","4,8,8,4","d,n"
"0,2,2,0","0,4,4,0","d,n"
"2,2,0,2","4,4,0,4","d,n"
"4,0,2,2","8,0,4,4","d,n"
"4,2,2,2","8,4,4,4","d,n"
"4,4,2,2","8,8,4,4","d,n"
"0,2,0,2","0,4,0,4","d,n"
"2,0,2,2","4,0,4,4","d,n"
"4,2,0,2","8,4,0,4","d,n"
"4,4,2,0","8,8,4,0","d,n"
"8,0,2,2","16,0,4,4","d,n"
"8,2,4,0","16,4,8,0","d,n"
"8,2,4,2","16,4,8,4","d,n"
"0,2,4,2","0,4,8,4","d,n"
"2,0,4,4","4,0,8,8","d,n"
"2,2,2,0","4,4,4,0","d,n"
"8,4,0,2","16,8,0,4","d,n"
"2,4,8,2","4,8,16,4","d,n"
"0,8,2,4","0,16,4,8","d,n"
"8,2,2,4","16,4,4,8","d,n"
"0,4,2,2","0,8,4,4","d,n"
"2,4,0,4","4,8,0,8","d,n"
"2,0,2,8","4,0,4,16","d,n"
"4,8,0,2","8,16,0,4","d,n"
"2,0,4,2","4,0,8,4","d,n"
"2,2,4,2","4,4,8,4","d,n"
"0,2,2,2","0,4,4,4","d,n"
"2,0,2,4","4,0,4,8","d,n"
"0,2,4,4","0,4,8,8","d,n"
"0,2,2,8","0,4,4,16","d,n"
"2,2,4,8","4,4,8,16","d,n"
"4,2,4,8","8,4,8,16","d,n"
"2,2,8,8","4,4,16,16","d,n"
"2,0,0,2","4,0,0,4","d,n"
"4,0,4,2","8,0,8,4","d,n"
"0,2,2,4","0,4,4,8","d,n"
"2,2,2,4","4,4,4,8","d,n"
"2,2,4,4","4,4,8,8","d,n"
"0,4,2,8","0,8,4,16","d,n"
"4,2,2,8","8,4,4,16","d,n"
"2,2,0,0","4,4,0,0","d,n"
"8,2,4,4","16,4,8,8","d,n"
"8,2,2,8","16,4,4,16","d,n"
"4,2,2,0","8,4,4,0","d,n"
"2,2,0,4","4,4,0,8","d,n"
"2,0,0,4","4,0,0,8","d,n"
"2,16,0,2","4,32,0,4","d,n"
"2,16,2,2","4,32,4,4","d,n"
"2,4,2,4","4,8,4,8","d,n"
"2,2,0,8","4,4,0,16","d,n"
"0,4,2,4","0,8,4,8","d,n"
"2,4,0,8","4,8,0,16","d,n"
"4,2,4,0","8,4,8,0","d,n"
"2,0,8,2","4,0,16,4","d,n"
"2,2,8,2","4,4,16,4","d,n"
"2,2,8,4","4,4,16,8","d,n"
"2,4,8,4","4,8,16,8","d,n"
"2,4,2,8","4,8,4,16","d,n"
"0,0,2,2","0,0,4,4","d,n"
"0,0,2,4","0,0,4,8","d,n"
"0,2,4,8","0,4,8,16","d,n"
"2,2,2,8","4,4,4,16","d,n"
"2,8,2,4","4,16,4,8","d,n"
"0,8,2,2","0,16,4,4","d,n"
"8,2,0,2","16,4,0,4","d,n"
"8,2,2,2","16,4,4,4","d,n"
"8,4,2,2","16,8,4,4","d,n"
"8,2,2,0","16,4,4,0","d,n"
"0,2,0,4","0,4,0,8","d,n"
"4,8,2,2","8,16,4,4","d,n"
"4,8,2,4","8,16,4,8","d,n"
"4,2,8,4","8,4,16,8","d,n"
"2,4,2,0","4,8,4,0","d,n"
"2,8,2,0","4,16,4,0","d,n"
"8,4,2,0","16,8,4,0","d,n"
"2,4,0,0","4,8,0,0","d,n"
"2,0,16,4","4,0,32,8","d,n"
"0,2,4,0","0,4,8,0","d,n"
"2,2,4,0","4,4,8,0","d,n"
"2,8,0,2","4,16,0,4","d,n"
"2,8,2,2","4,16,4,4","d,n"
"4,8,2,0","8,16,4,0","d,n"
"4,2,8,0","8,4,16,0","d,n"
"0,2,8,2","0,4,16,4","d,n"
"2,2,4,16","4,4,8,32","d,n"
"4,0,8,2","8,0,16,4","d,n"
"4,2,8,2","8,4,16,4","d,n"
"0,2,16,4","0,4,32,8","d,n"
"2,2,16,4","4,4,32,8","d,n"
"4,4,0,2","8,8,0,4","d,n"
"2,2,8,0","4,4,16,0","d,n"
"16,2,4,2","32,4,8,4","d,n"
"16,0,2,2","32,0,4,4","d,n"
"2,8,0,4","4,16,0,8","d,n"
"2,2,16,2","4,4,32,4","d,n"
"16,2,0,2","32,4,0,4","d,n"
"16,2,2,0","32,4,4,0","d,n"
"16,2,2,2","32,4,4,4","d,n"
